zipcode,city,is_manhattan,origin_lat,origin_lon,facility_code,facility_name,facility_type,facility_lat,facility_lon,facility_km,flight_dist_km,flight_time_min,car_to_facility_base_min,car_to_facility_dist_km,car_to_airport_base_min,car_to_airport_dist_km,speed_to_facility_normal_kmh,speed_to_facility_rush_kmh,speed_to_facility_worst_kmh,speed_to_airport_normal_kmh,speed_to_airport_rush_kmh,speed_to_airport_worst_kmh,fast_car_to_facility_min,fast_heli_total_min,fast_car_direct_min,fast_savings_min,normal_car_to_facility_min,normal_heli_total_min,normal_car_direct_min,normal_savings_min,rush_car_to_facility_min,rush_heli_total_min,rush_car_direct_min,rush_savings_min,worst_car_to_facility_min,worst_heli_total_min,worst_car_direct_min,worst_savings_min
07733,NY,False,40.37682454810918,-74.17260815434415,NJ73,NEW JERSEY,HELIPORT,40.394275,-74.1793097222222,2.021715718697328,43.64263601278803,13.09279080383641,0.0,0.0,64.22833333333332,61.828199999999995,,,,57.8,34.4,12.3,0.0,33.1,64.2,31.1,0.0,33.1,80.3,47.2,0.0,33.1,107.9,74.8,0.0,33.1,300.6,267.5
07059,NY,False,40.63199631034868,-74.51462027687053,9NJ1,NEW JERSEY,HELIPORT,40.5645472222222,-74.5548780555555,8.23423998031051,66.13105728984254,19.839317186952762,0.0,0.0,62.65333333333333,57.6824,,,,55.2,32.9,11.8,0.0,39.8,62.7,22.8,0.0,39.8,78.3,38.5,0.0,39.8,105.3,65.4,0.0,39.8,293.2,253.4
07901,NY,False,40.71460238242281,-74.36601138583018,08NJ,NEW JERSEY,HELIPORT,40.7626005555556,-74.3040372222222,7.466498170641257,46.34178643388003,13.90253593016401,0.09666666666666666,0.0405,49.75,47.6938,25.1,15.0,5.4,57.5,34.2,12.3,0.1,34.0,49.8,15.8,0.1,34.0,62.2,28.2,0.2,34.1,83.6,49.5,0.5,34.4,232.8,198.5
07030,NY,False,40.7451237974362,-74.02816672774709,JRA,NEW YORK,HELIPORT,40.7549027777778,-74.0070597222222,2.084144632632098,23.068070106238213,6.920421031871465,7.026666666666667,2.7848,36.419999999999995,30.1237,23.8,14.2,5.1,49.6,29.5,10.6,7.0,33.9,36.4,2.5,8.8,35.7,45.5,9.8,11.8,38.7,61.2,22.5,32.9,59.8,170.4,110.6
07940,NY,False,40.76011595558619,-74.41894357717935,0NJ2,NEW JERSEY,HELIPORT,40.7528783333333,-74.4398752777778,1.9380557975824269,57.153302947639176,17.145990884291752,0.0,0.0,49.71,47.6769,,,,57.5,34.3,12.3,0.0,37.1,49.7,12.6,0.0,37.1,62.1,25.0,0.0,37.1,83.5,46.4,0.0,37.1,232.6,195.5
07078,NY,False,40.741951424021565,-74.32772986810271,08NJ,NEW JERSEY,HELIPORT,40.7626005555556,-74.3040372222222,3.0421945884532513,46.34178643388003,13.90253593016401,0.0,0.0,49.67333333333333,47.6616,,,,57.6,34.3,12.3,0.0,33.9,49.7,15.8,0.0,33.9,62.1,28.2,0.0,33.9,83.5,49.5,0.0,33.9,232.5,198.6
11765,NY,False,40.88244014513708,-73.5584784390858,35NY,NEW YORK,HELIPORT,40.8983416666667,-73.5185527777778,3.793412266338875,35.9811533647545,10.794346009426349,14.716666666666667,9.9079,45.495,43.0444,40.4,24.0,8.6,56.8,33.8,12.1,14.7,45.5,45.5,-0.0,18.4,49.2,56.9,7.7,24.7,55.5,76.4,20.9,68.9,99.7,212.9,113.2
11530,NY,False,40.7271634121369,-73.63652642170725,NK37,NEW YORK,HELIPORT,40.7417677777778,-73.6440177777778,1.7422875908177071,15.893325422234817,4.767997626670445,4.446666666666667,2.6195,23.868333333333332,23.278299999999998,35.3,21.0,7.6,58.5,34.8,12.5,4.4,29.2,23.9,-5.3,5.6,30.3,29.8,-0.5,7.5,32.2,40.1,7.9,20.8,45.6,111.7,66.1
11217,NY,False,40.68245385660319,-73.97951551013215,JRB,NEW YORK,HELIPORT,40.7012136111111,-74.0090283333333,3.246963499575865,20.583744001223078,6.175123200366923,11.748333333333333,7.8441,27.923333333333336,21.789099999999998,40.1,23.8,8.6,46.8,27.9,10.0,11.7,37.9,27.9,-10.0,14.7,40.9,34.9,-6.0,19.7,45.9,46.9,1.0,55.0,81.2,130.7,49.5
10004,NY,False,40.693981956893325,-74.01825481659536,JRB,NEW YORK,HELIPORT,40.7012136111111,-74.0090283333333,1.118762267948968,20.583744001223078,6.175123200366923,11.836666666666668,1.22,47.001666666666665,33.9994,6.2,3.7,1.3,43.4,25.8,9.3,11.8,38.0,47.0,9.0,14.8,41.0,58.8,17.8,19.9,46.1,79.0,32.9,55.4,81.6,220.0,138.4
