zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name,centroid_lat,centroid_lon,Travel_Time_Min,Distance_km,Revenue_Norm,Employment_Norm,PowerShare_Norm,Distance_Norm,Distance_Squared,Corporate_Score,threshold_90
11203,new_york,920,14799,995374,4149.0,448.0,0.1079778259821643,1597,2959.8,558.95,10.79126968038381,18.884721940671668,New York,40.649569808809616,-73.93432717640079,0.0,13.212877097765656,0.08264402803764417,0.08264402803764417,0.1079126968038381,0.03189007782952652,0.0010169770639732588,0.03569526267023061,0.0905764210727858
11204,new_york,2342,19844,687526,11243.0,2851.0,0.2535800053366539,5032,3968.8,1761.2,25.357790767990323,44.37613384398307,New York,40.618815483418814,-73.98494177363784,46.68333333333333,31.12222222222222,0.11082130190734173,0.11082130190734173,0.25357790767990324,0.07656529318241538,0.005862244120109223,0.06970029318833107,0.0905764210727858
11205,new_york,1626,16538,894142,7524.0,2429.0,0.3228335991493886,5339,3307.6,1868.65,32.28322650864675,56.495646390131824,New York,40.69658374563944,-73.96805615648464,54.083333333333336,36.05555555555556,0.09235667011086598,0.09235667011086598,0.3228322650864675,0.0888715906792056,0.007898159629852262,0.0681406223562043,0.0905764210727858
11206,new_york,1594,20578,937982,7438.0,2014.0,0.2707717128260285,5571,4115.6,1949.85,27.07260180775586,47.37705316357274,New York,40.701870296489616,-73.94255141750384,47.68333333333333,31.788888888888888,0.1149208299589489,0.11492082995894887,0.2707260180775586,0.0782283063576573,0.0061196679155874865,0.07269160569436814,0.0905764210727858
11207,new_york,1088,13265,641853,4923.0,703.0,0.1427991062360349,1894,2653.0,662.9,14.278175650207311,24.9868073878628,New York,40.67015881150573,-73.89383735371513,0.0,10.277053785434331,0.07407634952107012,0.07407634952107012,0.14278175650207311,0.024566608556642472,0.0006035182559752992,0.031234224472456208,0.0905764210727858
11208,new_york,962,9564,405654,4351.0,461.0,0.1059526545621696,1013,1912.8,354.55,10.5918025930573,18.535654537850277,New York,40.67484807051337,-73.87248058736343,0.0,8.791976553874148,0.05340556843251696,0.05340556843251697,0.105918025930573,0.0208620540531379,0.00043522529931604755,0.022616197133365594,0.0905764210727858
11209,new_york,1914,15108,740018,9130.0,2361.0,0.2585980284775465,3906,3021.6,1367.1,25.85385226370135,45.244241461477365,New York,40.62180442886578,-74.03014989339216,0.0,21.379976729387362,0.08436985115473764,0.08436985115473764,0.2585385226370135,0.05226306926587702,0.002731428409089859,0.050254909042319836,0.0905764210727858
11210,new_york,1093,9270,404864,4999.0,1448.0,0.2896579315863172,2685,1854.0,939.75,28.964401294498384,50.68770226537217,New York,40.62806051201266,-73.94630836646947,0.0,14.270115460522106,0.05176352313664162,0.05176352313664163,0.2896440129449838,0.03452737981947928,0.001192139957198585,0.03152540163002846,0.0905764210727858
11211,new_york,3124,34781,1350420,15015.0,4961.0,0.3304029304029304,11491,6956.2,4021.85,33.03815301457693,57.81676777550962,New York,40.714256625962314,-73.94601347261413,51.36666666666667,34.24444444444445,0.1942472562763551,0.1942472562763551,0.33038153014576926,0.08435373821979839,0.007115553151654275,0.10857373532989806,0.0905764210727858
11212,new_york,835,13029,862326,3804.0,408.0,0.1072555205047318,1397,2605.8,488.95,10.722235014199097,18.76391127484841,New York,40.66290476435079,-73.91307104701623,0.0,11.636997961405966,0.07275824513390489,0.07275824513390489,0.10722235014199097,0.027959016179993988,0.0007817065857531657,0.031144043997531064,0.0905764210727858
11213,new_york,887,5619,202877,3993.0,1122.0,0.2809917355371901,1578,1123.8,552.3,28.08328884143086,49.14575547250401,New York,40.67115527927007,-73.9362663271674,0.0,13.749086607656048,0.0313720014521489,0.0313720014521489,0.2808328884143086,0.03322766304898313,0.0011040775916967586,0.02231616532327402,0.0905764210727858
11214,new_york,2034,14840,602305,9666.0,1631.0,0.1687357748810262,2504,2968.0,876.4,16.873315363881403,29.52830188679245,New York,40.599691047557776,-73.99637260759643,0.0,18.99457259188363,0.08287302074897372,0.08287302074897372,0.16873315363881403,0.046312631502459074,0.0021448598366825646,0.04439442255354919,0.0905764210727858
11215,new_york,2317,21367,1301517,11076.0,3925.0,0.3543698085951607,7571,4273.4,2649.85,35.43314456872748,62.008002995273095,New York,40.66256935701704,-73.98685045768045,54.88333333333333,36.58888888888889,0.11932754335502248,0.11932754335502248,0.35433144568727476,0.09020200121939913,0.008136401023984483,0.0821068478875924,0.0905764210727858
11216,new_york,997,7132,329737,4582.0,1373.0,0.2996508075076385,2137,1426.4,747.95,29.963544587773416,52.43620302860348,New York,40.68084440012983,-73.94922201989816,0.0,15.089031578181384,0.039822391019017564,0.039822391019017564,0.29963544587773416,0.03657018225910729,0.0013373782304643255,0.027341516643078517,0.0905764210727858
