zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name
2907,other,572,7282,375879,2418.0,464.0,0.1918941273779983,1397,1371.7,488.95,19.18429003021148,35.645549318364075,Other
2908,other,596,11098,728923,2542.0,551.0,0.2167584579071597,2405,2145.7,841.75,21.67057127410344,39.22962203476722,Other
2909,other,759,5591,258048,3327.0,666.0,0.2001803426510369,1119,1062.4499999999998,391.65,20.01430871042747,36.862911195820985,Other
2910,other,597,7569,329367,2504.0,529.0,0.2112619808306709,1599,1455.15,559.65,21.125644074514465,38.45995258220802,Other
2911,other,236,1714,63142,900.0,159.0,0.1766666666666666,302,317.5,105.7,17.6196032672112,33.29133858267716,Other
2912,other,8,7580,410376,0.0,0.0,0.0,0,1137.0,0.0,0.0,0.0,Other
1921,other,148,826,46955,517.0,160.0,0.3094777562862669,255,174.9,89.25,30.871670702179177,51.02915951972555,Other
1922,other,61,687,41310,138.0,68.0,0.4927536231884058,338,170.65,118.3,49.19941775836973,69.32317609141518,Other
1923,other,1115,32143,1705807,5013.0,1458.0,0.2908438061041292,9348,6691.05,3271.8,29.08253741094484,48.89815499809448,Other
1929,other,157,987,65890,485.0,74.0,0.1525773195876288,150,178.05,52.5,15.19756838905775,29.48609941027801,Other
1930,other,883,8656,563010,3845.0,740.0,0.1924577373211963,1665,1631.4,582.75,19.235212569316083,35.72085325487311,Other
1937,other,4,41,1342,0.0,0.0,0.0,0,6.15,0.0,0.0,0.0,Other
1938,other,371,4534,387095,1401.0,281.0,0.2005710206995003,909,861.9,318.15,20.048522276135863,36.91263487643578,Other
1940,other,424,5374,309339,1743.0,658.0,0.3775100401606425,2028,1211.6999999999998,709.8,37.73725344250093,58.578856152513005,Other
1944,other,169,1075,72507,568.0,205.0,0.3609154929577465,387,238.65,135.45,36.0,56.75675675675676,Other
1945,other,563,3476,179004,2358.0,706.0,0.2994062765055131,1040,729.4,364.0,29.919447640966627,49.90403071017275,Other
1949,other,367,3870,277347,1425.0,294.0,0.2063157894736842,798,740.1,279.3,20.62015503875969,37.73814349412242,Other
1950,other,770,9966,654685,3326.0,1090.0,0.327720986169573,3266,2148.1,1143.1,32.771422837648004,53.21446860015829,Other
1951,other,89,601,24034,259.0,55.0,0.2123552123552123,127,115.55,44.45,21.13144758735441,38.46819558632627,Other
1952,other,293,2841,193509,1056.0,170.0,0.1609848484848484,457,517.55,159.95,16.085885251671947,30.9052265481596,Other
1960,other,1491,20036,1247855,6921.0,1271.0,0.1836439820835139,3679,3741.2,1287.65,18.36194849271312,34.41810114401796,Other
1965,other,10,373,88034,6.0,0.0,0.0,0,55.95,0.0,0.0,0.0,Other
1966,other,171,511,28234,593.0,99.0,0.1669477234401349,85,93.65,29.75,16.634050880626223,31.76721836625734,Other
