zipcode,city_key,power_establishments,power_employment,power_revenue_M,total_establishments,total_employment,power_emp_pct,power_estab_pct
69156,other,0.0,0,0.0,18,63,0.0,0.0
69157,other,0.0,0,0.0,6,23,0.0,0.0
69162,other,188.0,607,212.45,232,2659,22.828130876269274,81.03448275862068
69163,other,0.0,0,0.0,24,76,0.0,0.0
69165,other,3.0,18,6.3,41,324,5.555555555555555,7.317073170731707
69166,other,0.0,0,0.0,26,178,0.0,0.0
69167,other,0.0,0,0.0,7,20,0.0,0.0
69168,other,0.0,0,0.0,7,39,0.0,0.0
69169,other,0.0,0,0.0,19,58,0.0,0.0
69170,other,0.0,0,0.0,3,25,0.0,0.0
69201,other,196.0,412,144.2,203,1437,28.670842032011134,96.55172413793103
69210,other,63.0,167,58.45,122,935,17.860962566844922,51.63934426229508
69211,other,0.0,0,0.0,7,11,0.0,0.0
69214,other,0.0,0,0.0,4,10,0.0,0.0
69217,other,0.0,0,0.0,21,69,0.0,0.0
69218,other,0.0,0,0.0,4,5,0.0,0.0
69220,other,0.0,0,0.0,3,1,0.0,0.0
69301,other,252.0,599,209.65,267,2382,25.146935348446686,94.3820224719101
69333,other,0.0,0,0.0,4,15,0.0,0.0
69334,other,0.0,0,0.0,35,95,0.0,0.0
69336,other,52.0,206,72.1,78,715,28.81118881118881,66.66666666666666
69337,other,154.0,380,133.0,198,1686,22.538552787663107,77.77777777777779
69339,other,0.0,0,0.0,39,215,0.0,0.0
69341,other,169.0,507,177.45,231,2379,21.311475409836063,73.16017316017316
69343,other,41.0,124,43.4,84,597,20.770519262981573,48.80952380952381
69345,other,0.0,0,0.0,4,38,0.0,0.0
69346,other,0.0,0,0.0,10,32,0.0,0.0
69347,other,3.0,10,3.5,25,83,12.048192771084338,12.0
69348,other,0.0,0,0.0,29,180,0.0,0.0
69350,other,0.0,0,0.0,21,70,0.0,0.0
69352,other,0.0,0,0.0,12,119,0.0,0.0
69355,other,0.0,0,0.0,3,5,0.0,0.0
69356,other,0.0,0,0.0,15,39,0.0,0.0
69357,other,20.0,43,15.05,59,282,15.24822695035461,33.89830508474576
69358,other,3.0,23,8.05,33,245,9.387755102040817,9.090909090909092
69360,other,23.0,87,30.45,37,239,36.40167364016737,62.16216216216216
69361,other,640.0,2064,722.4,653,8869,23.272071259443003,98.00918836140889
69365,other,0.0,0,0.0,4,22,0.0,0.0
69367,other,0.0,0,0.0,5,3,0.0,0.0
70001,other,2046.0,5315,1860.25,1284,15361,34.60061193932687,159.34579439252337
70002,other,3466.0,10388,3635.8,1744,24794,41.89723320158103,198.73853211009174
70003,other,703.0,2191,766.85,609,8045,27.23430702299565,115.43513957307061
70005,other,1483.0,3598,1259.3,819,8845,40.6783493499152,181.07448107448107
70006,other,668.0,1890,661.5,699,8531,22.154495369827686,95.56509298998569
70030,other,0.0,0,0.0,35,486,0.0,0.0
70031,other,0.0,0,0.0,23,332,0.0,0.0
70032,other,26.0,171,59.85,76,1181,14.479254868755293,34.21052631578947
70036,other,0.0,0,0.0,12,49,0.0,0.0
70037,other,393.0,1361,476.35,481,6515,20.890253261703762,81.70478170478171
70038,other,0.0,0,0.0,15,142,0.0,0.0
70039,other,25.0,115,40.25,89,1135,10.13215859030837,28.08988764044944
70040,other,0.0,0,0.0,17,270,0.0,0.0
70041,other,15.0,41,14.35,39,220,18.636363636363637,38.46153846153847
70043,other,335.0,906,317.1,464,5094,17.785630153121318,72.19827586206897
70047,other,230.0,660,231.0,199,1994,33.09929789368105,115.57788944723617
70049,other,0.0,0,0.0,12,89,0.0,0.0
70050,other,0.0,0,0.0,10,268,0.0,0.0
70051,other,13.0,483,169.05,37,1973,24.480486568677144,35.13513513513514
70052,other,20.0,157,54.95,77,1474,10.651289009497965,25.97402597402597
70053,other,538.0,1435,502.25,496,5650,25.398230088495577,108.46774193548387
70056,other,715.0,2032,711.2,640,7935,25.608065532451164,111.71875
70057,other,47.0,979,342.65,62,3231,30.30021665119158,75.80645161290323
70058,other,864.0,3031,1060.85,862,13394,22.62953561296103,100.23201856148492
70062,other,640.0,2033,711.55,834,11591,17.53947027866448,76.73860911270984
70065,other,1050.0,2754,963.9,810,9372,29.3854033290653,129.62962962962962
70067,other,0.0,0,0.0,34,227,0.0,0.0
70125,other,440.0,1745,610.75,442,6799,25.665539049860275,99.5475113122172
70126,other,96.0,555,194.25,306,6248,8.882842509603073,31.372549019607842
70127,other,193.0,723,253.05,262,3841,18.82322311897943,73.66412213740458
70128,other,151.0,618,216.3,160,2450,25.22448979591837,94.375
70129,other,96.0,683,239.05,157,3346,20.41243275552899,61.146496815286625
70130,other,3505.0,10456,3659.6,1855,26050,40.13819577735125,188.9487870619946
70131,other,145.0,470,164.5,211,2412,19.485903814262024,68.72037914691943
70139,other,292.0,2931,1025.85,86,3494,83.88666285060104,339.5348837209302
70148,other,0.0,0,0.0,25,209,0.0,0.0
70163,other,389.0,1366,478.1,120,1570,87.00636942675159,324.1666666666667
70301,other,1197.0,3468,1213.8,881,11396,30.43173043173043,135.86833144154372
70310,other,0.0,0,0.0,10,146,0.0,0.0
70339,other,31.0,121,42.35,66,542,22.324723247232473,46.96969696969697
70340,other,20.0,222,77.7,67,1871,11.865312667022982,29.850746268656714
70341,other,0.0,0,0.0,31,577,0.0,0.0
70342,other,44.0,373,130.55,72,1408,26.49147727272727,61.111111111111114
70343,other,43.0,235,82.25,81,1070,21.962616822429908,53.086419753086425
70344,other,20.0,38,13.3,64,330,11.515151515151516,31.25
70345,other,162.0,684,239.4,168,2265,30.198675496688743,96.42857142857143
70346,other,169.0,781,273.35,178,2762,28.27661115133961,94.9438202247191
70353,other,0.0,0,0.0,16,149,0.0,0.0
70354,other,45.0,752,263.2,75,3026,24.851288830138795,60.0
70355,other,0.0,0,0.0,3,10,0.0,0.0
70356,other,0.0,0,0.0,29,888,0.0,0.0
70357,other,34.0,209,73.15,90,1745,11.977077363896848,37.77777777777778
70358,other,0.0,0,0.0,28,163,0.0,0.0
70359,other,28.0,167,58.45,125,2305,7.245119305856833,22.400000000000002
70360,other,1637.0,5907,2067.45,1240,20177,29.27590821232096,132.01612903225805
70363,other,517.0,2461,861.35,508,10222,24.075523380943064,101.77165354330708
70629,other,100.0,252,88.2,38,315,80.0,263.15789473684214
70630,other,8.0,71,24.85,20,206,34.46601941747573,40.0
70631,other,37.0,519,181.65,42,1138,45.60632688927944,88.09523809523809
70632,other,0.0,0,0.0,6,7,0.0,0.0
70633,other,23.0,89,31.15,103,1142,7.793345008756567,22.330097087378643
70634,other,549.0,1526,534.1,542,6310,24.183835182250395,101.29151291512915
70637,other,0.0,0,0.0,4,39,0.0,0.0
70638,other,0.0,0,0.0,6,28,0.0,0.0
70639,other,0.0,0,0.0,8,40,0.0,0.0
70640,other,0.0,0,0.0,6,31,0.0,0.0
70643,other,0.0,0,0.0,8,59,0.0,0.0
70645,other,43.0,301,105.35,26,364,82.6923076923077,165.3846153846154
70646,other,0.0,0,0.0,6,12,0.0,0.0
70647,other,18.0,63,22.05,134,1454,4.332874828060523,13.432835820895523
70648,other,36.0,129,45.15,112,1137,11.345646437994723,32.142857142857146
70650,other,0.0,0,0.0,8,72,0.0,0.0
70652,other,0.0,0,0.0,24,107,0.0,0.0
70653,other,0.0,0,0.0,43,324,0.0,0.0
70655,other,19.0,37,12.95,34,163,22.699386503067483,55.88235294117647
70656,other,0.0,0,0.0,23,90,0.0,0.0
70657,other,17.0,35,12.25,26,99,35.35353535353536,65.38461538461539
70658,other,0.0,0,0.0,7,34,0.0,0.0
70659,other,0.0,0,0.0,15,154,0.0,0.0
70660,other,0.0,0,0.0,10,55,0.0,0.0
70661,other,0.0,0,0.0,12,51,0.0,0.0
70663,other,712.0,2344,820.4,687,9684,24.204874019000414,103.63901018922851
70665,other,199.0,1113,389.55,231,4655,23.909774436090224,86.14718614718615
70668,other,49.0,289,101.15,78,1446,19.986168741355463,62.82051282051282
70669,other,233.0,1821,637.35,248,6863,26.53358589538103,93.95161290322581
70706,other,161.0,401,140.35,237,2222,18.046804680468046,67.9324894514768
70710,other,8.0,59,20.65,61,810,7.28395061728395,13.114754098360656
70711,other,36.0,107,37.45,70,565,18.938053097345133,51.42857142857142
70714,other,185.0,501,175.35,248,2441,20.524375256042607,74.59677419354838
70715,other,0.0,0,0.0,16,273,0.0,0.0
70719,other,17.0,71,24.85,53,508,13.976377952755906,32.075471698113205
70721,other,0.0,0,0.0,8,727,0.0,0.0
70722,other,86.0,266,93.1,107,1024,25.9765625,80.37383177570094
70723,other,9.0,218,76.3,46,2474,8.811641067097817,19.565217391304348
70725,other,0.0,0,0.0,21,193,0.0,0.0
70726,other,1077.0,2917,1020.95,990,11880,24.553872053872052,108.78787878787878
70729,other,6.0,75,26.25,9,75,100.0,66.66666666666666
70730,other,6.0,50,17.5,30,269,18.587360594795538,20.0
70732,other,0.0,0,0.0,13,39,0.0,0.0
70733,other,0.0,0,0.0,17,60,0.0,0.0
